text,Pattern Category
FLASH SALE | LIMITED TIME ONLY Shop Now,Hidden costs
Pillowcases & Shams,Not Dark Pattern
Write a review,Not Dark Pattern
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Not Dark Pattern
 newsletter signup (privacy policy) ,Not Dark Pattern
In demand,Bait and switch
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",Not Dark Pattern
Hurry! Only 2 left in stock,Bait and switch
In Stock only 3 left,Bait and switch
International Shipping Policy,Not Dark Pattern
"Clothes, Shoes & Accessories",Not Dark Pattern
Hurry! Only 2 left,Bait and switch
Primary Arms Scopes,Not Dark Pattern
ONLY 8 LEFT,Bait and switch
MoTrail,Not Dark Pattern
LCD Ribbon Cables,Not Dark Pattern
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Not Dark Pattern
OUR BEST SELLING GOGGLE,Forced continuity
"1,142 people have added to cart recently",Sneaking 
Limited Availability,Bait and switch
No thanks. I don't like free things...,Forced continuity
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Not Dark Pattern
 Supply & Demand ,Not Dark Pattern
"Michael in Pontiac, United States purchased a  ",Sneaking 
Bathroom Lighting,Not Dark Pattern
 Shop Optics > ,Not Dark Pattern
9 people are viewing this.,Sneaking 
"894 Claimed! Hurry, only a few left!",Bait and switch
77 PEOPLE LIKE THIS,Sneaking 
Girls Trousers,Not Dark Pattern
Specs,Not Dark Pattern
4 items left,Bait and switch
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Hidden costs
Offer ends in,Hidden costs
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Sneaking 
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Sneaking 
More Info,Not Dark Pattern
Daystate FAC Air Rifles,Not Dark Pattern
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",Not Dark Pattern
24 sold in last 24 hours.,Sneaking 
 #CERTIFIED_FACE_MASKS ,Not Dark Pattern
Shop the Look,Not Dark Pattern
Kicks Remotes,Not Dark Pattern
Only 7 left in stock.,Bait and switch
Whey Protein Isolate,Not Dark Pattern
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Not Dark Pattern
Product Info,Not Dark Pattern
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Sneaking 
 Sign In With Google ,Not Dark Pattern
Shop All,Not Dark Pattern
 You can change your preference here Shop for Select an age ,Not Dark Pattern
1 in Stock,Bait and switch
 shop all ,Not Dark Pattern
Low Stock Alert: Only 8 left in inventory,Bait and switch
Womens Platform Shoes,Not Dark Pattern
Screen print graphics,Not Dark Pattern
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Sneaking 
Thin and tough - protects from minor scratches,Not Dark Pattern
Kimberly R.,Not Dark Pattern
I don't feel lucky,Forced continuity
Only 3 items left,Bait and switch
 Butterscotch Cakes ,Not Dark Pattern
